34,117274,123-233-456 44,ШАЙХУЛИНА,ПОЛИНА,ШАЙХУЛОВНА,1924-07-01,425657,Зеленодольск,Ленина,1,1,1,2011-05-17,2019-05-17,2041-05-17,,паоар оелге лбо,123,2018-05-17,1,2,,,,5
35,117275,123-233-456 44,ШАФИГУЛЛИНА,ДИНАРА,ПЕТРОВНА,1960-10-01,425657,Зеленодольск,Энгельса,3,1,43,2020-05-17,2021-05-17,2021-05-17,,,123,2021-05-17,2,5,,,,5
36,117276,075-627-874 68,КАДИРОВА,АЛСУ,РЕННАТОВНА,2000-02-05,425354,Айша,Школьная,6,,7,2021-05-19,2021-05-19,2065-05-19,2021-05-19,"code = models.IntegerField(default=None). so i can make it as unique but i am getting following error. django.db.utils.IntegrityError: column ""code"" contains null values. django postgresql django-models.",123,2021-05-19,1,4,3,5,7,5
37,117277,123-234-635 00,ГИЛЯЗОВА,КАФИЯ,ХАИТОВНА,1917-06-19,422540,Зеленодольск,Энгельса,16,,2,1967-06-22,1995-08-01,2015-08-01,,"ghfjhfjfhg  hfkjghkujlkh.
 fhjhfj kg,jh,
g hghj",1,1995-08-10,11,2,,,,q
38,117278,056-946-632 51,РОСТОВЦЕВА,СЕРАФИМА,АНДРЕЕВНА,1916-03-27,422540,Зеленодольск,Комсомольская,5,,73,1971-07-02,1992-02-01,2012-03-01,,fghjkhfgkhkhl,13,1992-02-13,3,2,,3,2,3
39,117279,123-789-456 77,РАДЮШИН,НИКОЛАЙ,ПЕТРОВИЧ,1929-04-14,422524,Б. Ключи,Казанская,27,,,1989-04-14,2000-11-01,2020-11-01,,,123,2000-11-10,6,2,,,,3
40,117280,234-575-678 87,УРАЛЬСКАЯ,АНАСТАСИЯ,НИКОЛАЕВНА,1910-12-19,422540,Зеленодольск,Вахитова,17,,,1958-06-02,1995-02-01,2015-02-01,,"порол Преобразует URL-ы в ссылки как и urlize, но обрезает название ссылок длиннее указанного предела.

Аргумент: Максимальное количество символов в названии ссылки, включая многоточие, добавленное при обрезании текста.",,1995-01-12,3,2,,,,3
41,117281,060-637-874 68,МОРОЗОВА,АНТОНИНА,АНДРЕЕВНА,1933-07-23,422540,Зеленодольск,Белинского,10,,,1979-06-11,2000-04-01,2020-04-01,,ууу,,2000-03-24,2,2,11,3,,2
42,117282,123-692-854 44,НОСОВ,БОРИС,ВАСИЛЬЕВИЧ,1934-08-26,422544,Зеленодольск,Тургенева,64,,35,1983-06-04,1991-04-01,2006-04-01,,апр,1,2021-06-03,1,4,,,,1
43,117283,234-575-678 87,АБДУЛЛВАЛИЕВ,АБДРАХМАН,,1931-03-05,422516,Кугеево,Кушкапка,16,,,1991-03-05,2019-02-01,2019-02-01,,робд пгое,,2019-01-09,12,2,12,9,3,2
